ID,logFC,Pvalue
ALDH18A1,-0.262012679,0.051051863
PET112,-0.339334208,0.238754426
CDK17,-0.560042789,0.16908279
SLC2A3,-0.0609127,0.855235655
CTDP1,0.493332757,0.25327588
YBX3,1.28870153,0.725866379
CCAR1,-0.230421822,0.141287641
OGFR,1.349358386,0.001169019
SNRNP40,-0.589585987,0.714411332
QSER1,1.244281041,0.602378709
ACAA1,0.082773024,0.158039628
BCAT1,-0.799452753,0.020231826
HDAC7,-0.973014331,0.009444744
NCKAP1,0.739489139,0.17594932
MRPS35,-0.465611816,0.800812206
SFSWAP,0.311794063,0.001063937
MON2,-0.809155691,0.356297874
GPBP1,-0.544325271,0.010625457
CS,1.369039072,0.045625909
MRPS24,-0.726987046,0.147037563
ELMO2,0.132957247,0.77075367
WAPAL,0.190193212,0.875272275
VMP1,-0.683195871,0.005267612
POLD1,0.885805529,0.006830842
EIF4B,0.347514809,0.411135601
GLTSCR1,0.216111117,0.18749945
RPL18,0.316665476,0.774868832
ISOC2,0.119922355,0.208336522
U2AF2,0.388082073,0.05612809
EPN1,-1.385845967,0.226529325
MED29,0.047330248,0.89983769
GPC1,-1.399175453,0.042364345
HAGH,0.055218464,0.210200618
RNF4,-0.108682253,0.771481047
CASP8,0.154609341,0.830854153
LIMCH1,0.780541044,0.00319527
ASUN,0.168525858,0.156435967
SPA17,-0.28201231,0.369885092
TAF2,0.073281629,0.998984649
TNPO3,0.23579608,0.001521399
TMEM161A,-0.614943152,0.297573434
CTSA,0.506620954,0.312183808
SUGP2,-0.39850652,0.467908599
SLC12A2,-0.252457516,0.036343134
SNX24,-0.408059321,0.404353405
CNN2,0.637248014,0.000318006
DDX20,-0.321279851,0.081353049
PMS1,-0.134158163,0.035478089
HMG20B,-0.367726588,0.60880766
ANKS1A,0.245851533,0.484978679
AP3D1,-0.633168364,0.167989304
SLC9A3R2,0.073147787,0.041081708
UHRF1BP1,-0.832870139,0.386639604
GNAI3,0.351212762,0.282175279
IPO5,-0.004190856,0.000269916
OAT,-0.32138431,0.001062263
WDR3,-0.827976997,0.000131895
PKN2,-1.462593855,4.06E-07
WDR18,0.765253485,0.774932538
DGKA,-0.351821461,0.018016725
KARS,0.48182461,0.505511621
PDIA5,-0.026628185,0.002039363
TBC1D22B,0.086090365,0.106149887
NDUFB4,-0.116805983,0.243571597
SPEN,0.196136022,0.707272617
MYLK,0.246250452,0.287894135
ZC3H15,-0.417682833,0.084911729
MAP2K4,-0.137660656,0.059854076
TMEM206,0.161270503,0.658075251
SNAP91,-0.146623193,0.151925607
SLK,-1.225220692,0.357459746
CYB5R4,-0.276555651,0.093387152
ASB1,-1.139412239,0.001011597
FAM107B,-0.964478216,0.028046217
ME1,-0.016972393,0.172771653
CDK13,0.337829212,0.786541907
MTHFD2,-0.35580612,0.761805117
YBX1,-1.100016676,0.94019795
PPP2R5A,-0.184211437,0.656479411
ELAVL1,0.531925303,0.017468661
DIP2B,-0.210495953,0.038032318
SMARCD1,-0.221736344,0.513264523
KDM4A,0.160053568,0.924545255
NFYC,-0.531672147,0.120376801
ASPM,-1.250155048,0.105214329
ELOVL1,0.808185059,0.60546571
ZNRD1,0.101189668,0.380984333
ZBTB11,-0.406641188,0.65178322
ATXN3,-0.983780147,0.026232107
GOLGA5,0.641464665,0.015821941
LRRC40,-0.099552976,0.067756586
ISOC1,0.27546437,0.651159574
TRMT11,-0.393693448,0.365800848
THUMPD1,-0.027873994,0.584004675
ATG2B,-0.79380505,0.155966753
ARFGEF1,1.358319782,0.125570019
MTFR1,-0.375464368,0.306508524
FECH,-0.077153024,0.019063597
MYO9A,-0.207266815,0.015277546
PFKP,1.572019974,0.061318819
IDI1,0.835939327,0.398006514
SP100,1.233922262,0.126865615
TRAM1,1.028114506,0.833746562
TNFRSF1A,-0.375517705,0.26928479
EVI5,-0.271109732,0.1848059
PKM,0.857208499,0.00106499
DHX29,0.869149949,0.893774107
DNTTIP2,0.048219233,0.035728719
TP53BP1,-0.345991281,0.119573291
RRP15,-1.067821666,0.001123465
RHOA,0.061422325,0.068932214
DHX8,-0.095852581,0.180651164
IARS2,0.4802378,0.01461021
NAV3,0.239305039,0.463438433
ROCK1,-0.001015163,0.000130024
CBFB,0.501261999,0.404630669
HYAL2,0.290450928,0.239128544
HDAC4,-0.476600073,0.096662484
RASSF1,-0.065133668,0.785838786
IFI35,2.594343654,2.86E-05
HEATR6,-0.56087309,0.962473975
COASY,-0.508237923,0.014737292
PRR11,-0.657172823,0.051781139
POLR1A,0.001101338,0.005406988
SRBD1,-0.280229665,2.67E-06
KIF2A,0.844672926,0.992950648
PSME4,0.824781773,0.026737049
SIRT2,-0.570619139,0.250286159
ERLEC1,0.218976884,0.72735955
MAST4,0.346521273,0.877203314
GPR116,0.110083139,0.484595903
NUCKS1,-0.312868711,0.067828419
VPS35,-0.052583361,0.35688009
DNAJA2,-0.528227223,0.264368807
KCNAB2,0.613380549,0.763834206
ATP1B3,0.047126552,0.02664095
NEDD4,0.753247438,0.605341922
RAB27A,0.257363378,0.25280802
CECR5,0.049351884,0.427265059
UFD1L,-0.24813861,0.012998148
LRP6,-0.518579675,0.05638503
PHRF1,0.289509647,0.576295729
IKBKAP,-0.314206285,0.100842682
NUCB2,1.575932767,0.42915472
PFN2,0.608827615,0.824322858
SLC44A1,-0.490183015,0.203399198
SMG6,-0.377878494,0.150285673
EXOC5,-0.073387139,0.87914052
MNT,0.013519549,0.952945491
JMJD6,-0.498831758,0.000208602
POLB,0.030152485,0.007240345
WIPI1,-0.174679744,0.78009802
ASNS,1.897935867,0.063698337
AP3M2,0.086035505,0.818844842
PABPC1,-0.929294037,0.000601584
C16orf80,-0.166346178,0.928075027
CSNK2A2,1.689489246,0.046388963
EIF2B3,0.296440771,0.141923421
TCOF1,0.821833072,0.059848945
CDC42,0.680402199,0.802163932
OSBPL3,-0.337566941,8.73E-06
RAD18,-0.092109631,0.001576525
ATP2B1,-0.413152462,0.00559789
RPL31,1.606090929,0.126140882
WDR1,-0.258535446,0.000548652
ARHGAP10,0.326094751,0.502783995
LMCD1,-0.318153894,0.037824649
WBSCR22,-0.496437648,0.045337363
SEL1L,0.135666226,0.213330367
TRIP13,0.096666848,0.565471095
TCF3,-0.761133886,0.155541345
DAZAP1,0.35702511,0.525732963
MBD3,0.917918579,0.502421381
HLTF,-0.499110328,0.000813754
CPSF1,-0.736952252,0.067520071
CYBRD1,1.237577454,0.547131054
PDCD2,0.660039827,0.354724596
RDH11,0.347020527,0.678761094
PRKACA,-0.406267921,0.011495486
ACTN1,0.544806386,3.54E-07
EPN2,-0.20845252,0.367854091
ALDH3A2,0.470598393,0.502837536
TFRC,0.178626638,0.016449448
SREBF1,0.474049751,0.526461117
AFF4,0.025312372,0.118386304
UBE2D1,-1.62854119,0.044425758
MPP5,0.50979149,0.0100168
MARK2,0.20747872,0.356468193
HMMR,-0.384269153,0.06362698
CHFR,1.670593838,0.480371785
P4HA2,0.471016063,0.23689552
TRNT1,0.266287705,0.072156359
ACADVL,-2.135484695,0.003749042
STK10,0.329890375,0.90140228
FBXW11,0.313540288,0.889262714
ACAP1,-0.369817319,0.349851112
DERL2,-0.214837736,0.725945709
NDE1,-0.586995878,0.127697708
AP1M1,0.358920292,0.278649338
PVR,0.004840091,0.163220394
XRCC1,0.013203772,0.870010356
SCARB1,-0.035153878,0.215428322
MCM2,0.589810459,0.016156665
SELO,1.178569393,0.510757416
LLGL2,-0.234557355,0.35039755
NLE1,-0.496357392,0.13474197
SDHA,1.234444222,0.604537665
SMARCE1,0.091835028,0.079314878
KDM5A,-0.162860135,0.35124162
PPP2R3A,0.009878842,0.970862389
FERMT2,-0.307310021,0.000475688
IGF2BP2,-1.048178708,0.013236452
PICALM,1.208529485,0.149439668
NSF,0.213944156,0.051041518
GLI2,-0.591710608,0.084741828
CLASP1,0.140819182,0.090683849
MRPS34,-0.215937292,0.023559831
CLNS1A,-0.468536362,0.000850841
EED,0.998675553,0.825364283
TSG101,1.201563195,0.542201474
C17orf85,-0.440279552,0.063202562
MGLL,-0.692556919,0.000364552
BCS1L,-0.047472724,0.386311452
DPP8,0.000219887,0.666642513
ZNF532,-0.350260528,0.161314205
LMAN1,0.061996333,0.40277747
PTPLAD1,-0.010455401,0.057524485
ZZEF1,0.145975614,0.575711558
ENO1,0.941189552,0.000137958
C19orf10,0.073648473,0.414462335
TUBE1,0.199069806,0.460229188
ACTR6,-0.196131685,0.722281393
TIPIN,-0.25921158,0.141478094
SRI,0.272758168,0.052686594
EIF4G3,0.919609436,0.407544999
NUP37,-0.628687888,0.002146885
GTSE1,-0.91201899,0.034532873
SEMA3C,0.237865732,0.417212532
TTC38,-0.18909695,0.037765499
ACAT1,0.309133726,0.387618007
ZNF638,0.238699567,0.782674669
TIMM21,0.224293427,0.562712725
RASAL2,0.852224409,0.939420949
MARK3,-1.223747451,0.351429862
SLC25A3,1.478587647,0.524264186
FNDC3B,0.681979501,0.720120942
FOSL2,-0.103763826,0.586126051
FRYL,-0.192481914,0.019742579
TMEM131,-0.51628023,0.002351131
FSCN1,-0.101276537,0.227218331
ACTB,0.884194588,0.199099612
MOCOS,0.532118622,0.967388686
WDR62,0.281741039,0.880229366
DLG1,-0.187185804,9.74E-05
RAB7A,0.61663911,0.500167086
BCAP29,-0.118663833,0.985121845
SART3,-0.412297193,0.06335897
EXOSC7,0.100537648,0.027437302
KIFAP3,-0.178680188,0.491855099
MKRN2,-0.358853307,0.002310903
MCM6,0.833159273,0.012226901
